order_id,customer_id,product_name,category,price,quantity,payment_method,rating,purchase_date,return_flag,total_spent
7A6C3899,C20932,Hijab,Fashion,"399,781.00",3,GoPay,4,01/01/2023,0,1199343
53E47AAA,C22977,Vitamin C,Kesehatan,"141,036.00",1,Transfer Bank,2,01/01/2023,0,141036
C4E46C18,C32031,Termometer Digital,Kesehatan,"346,749.00",1,ShopeePay,1,01/01/2023,0,346749
79ADD3D8,C75962,Masker KF94,Kesehatan,"244,260.00",3,GoPay,1,01/01/2023,0,732780
76C93AB3,C94357,Pengharum Mobil,Otomotif,"89,849.00",3,ShopeePay,1,01/01/2023,0,269547
8F01D405,C30271,Lipstik Matte,Kecantikan,"183,766.00",3,GoPay,3,01/01/2023,0,551298
9E1ADA6E,C59802,Tempat Sampah Mini,Rumah Tangga,"171,808.00",1,Kartu Kredit,2,01/01/2023,0,171808
B9D65B82,C88215,Puzzle 1000pcs,Mainan,"170,405.00",1,Kartu Kredit,1,01/01/2023,1,170405
DAEEA4D7,C10892,Kopi Literan,Makanan & Minuman,"340,920.00",2,Kartu Kredit,2,01/01/2023,0,681840
9BF89B4F,C77312,Masker KF94,Kesehatan,"475,831.00",1,GoPay,1,01/01/2023,1,475831
02F04CB4,C34554,Kopi Literan,Makanan & Minuman,"39,687.00",3,COD,1,01/01/2023,1,119061
F54B4E61,C27111,Baju Oversize,Fashion,"292,340.00",3,GoPay,5,01/01/2023,0,877020
E07CD2A7,C50373,Power Bank,Elektronik,"478,115.00",2,ShopeePay,1,01/01/2023,0,956230
9EB5CC30,C54846,Alat Vakum Mini,Otomotif,"110,878.00",2,ShopeePay,2,01/01/2023,0,221756
0A8E8936,C35568,Skincare Toner,Kecantikan,"220,484.00",2,Transfer Bank,1,01/01/2023,0,440968
E51E74FB,C43764,Hijab,Fashion,"191,262.00",3,Kartu Kredit,5,01/01/2023,0,573786
D6AA0FA0,C54529,Sarung Jok,Otomotif,"216,020.00",1,COD,2,01/01/2023,1,216020
9BBC18F5,C76362,Foundation,Kecantikan,"70,149.00",1,Transfer Bank,2,01/01/2023,0,70149
587BD1A8,C81579,Pengharum Mobil,Otomotif,"41,706.00",3,ShopeePay,3,01/01/2023,0,125118
A1339176,C22198,Wajan Anti Lengket,Rumah Tangga,"494,317.00",3,COD,4,01/01/2023,0,1482951
F2B748D8,C85874,GPS Tracker,Otomotif,"94,138.00",3,ShopeePay,4,01/01/2023,0,282414
289DB3CD,C98499,Hoodie Polos,Fashion,"106,033.00",3,Kartu Kredit,3,01/01/2023,0,318099
AE4FBFD7,C16749,Sunscreen SPF50,Kecantikan,"193,903.00",1,Transfer Bank,1,02/01/2023,0,193903
0F07404B,C92283,Granola,Makanan & Minuman,"180,305.00",3,Kartu Kredit,3,02/01/2023,0,540915
4F978030,C78223,Mie Instan Premium,Makanan & Minuman,"242,334.00",2,ShopeePay,1,02/01/2023,0,484668
9954D96C,C12670,Vitamin C,Kesehatan,"196,423.00",2,Transfer Bank,2,02/01/2023,0,392846
590C8286,C22368,Tempat Sampah Mini,Rumah Tangga,"139,470.00",1,GoPay,4,02/01/2023,0,139470
B2DF7D99,C62263,Masker KF94,Kesehatan,"455,473.00",1,GoPay,5,02/01/2023,0,455473
30047BF7,C28260,Pengharum Mobil,Otomotif,"334,611.00",3,Transfer Bank,3,02/01/2023,0,1003833
F9A919E4,C96591,Lipstik Matte,Kecantikan,"40,137.00",2,COD,4,02/01/2023,0,80274
AD183B8E,C51104,GPS Tracker,Otomotif,"387,058.00",2,GoPay,5,02/01/2023,0,774116
