order_id,customer_id,product_name,category,price,quantity,payment_method,rating,purchase_date,return_flag
7A6C3899,C20932,Hijab,Fashion,399781,3,GoPay,4,2024-03-18,0
53E47AAA,C22977,Vitamin C,Kesehatan,141036,1,Transfer Bank,2,2023-03-12,0
C4E46C18,C32031,Termometer Digital,Kesehatan,346749,1,ShopeePay,1,2023-07-19,0
79ADD3D8,C75962,Masker KF94,Kesehatan,244260,3,GoPay,1,2023-07-19,0
76C93AB3,C94357,Pengharum Mobil,Otomotif,89849,3,ShopeePay,1,2023-08-28,0
8F01D405,C30271,Lipstik Matte,Kecantikan,183766,3,GoPay,3,2023-03-07,0
9E1ADA6E,C59802,Tempat Sampah Mini,Rumah Tangga,171808,1,Kartu Kredit,2,2023-04-12,0
B9D65B82,C88215,Puzzle 1000pcs,Mainan,170405,1,Kartu Kredit,1,2023-03-10,1
DAEEA4D7,C10892,Kopi Literan,Makanan & Minuman,340920,2,Kartu Kredit,2,2024-02-17,0
9BF89B4F,C77312,Masker KF94,Kesehatan,475831,1,GoPay,1,2023-03-11,1
02F04CB4,C34554,Kopi Literan,Makanan & Minuman,39687,3,COD,1,2023-12-13,1
F54B4E61,C27111,Baju Oversize,Fashion,292340,3,GoPay,5,2024-02-10,0
E07CD2A7,C50373,Power Bank,Elektronik,478115,2,ShopeePay,1,2024-03-11,0
9EB5CC30,C54846,Alat Vakum Mini,Otomotif,110878,2,ShopeePay,2,2024-01-02,0
0A8E8936,C35568,Skincare Toner,Kecantikan,220484,2,Transfer Bank,1,2023-06-05,0
E51E74FB,C43764,Hijab,Fashion,191262,3,Kartu Kredit,5,2023-12-29,0
D6AA0FA0,C54529,Sarung Jok,Otomotif,216020,1,COD,2,2023-12-25,1
9BBC18F5,C76362,Foundation,Kecantikan,70149,1,Transfer Bank,2,2023-06-25,0
587BD1A8,C81579,Pengharum Mobil,Otomotif,41706,3,ShopeePay,3,2023-09-25,0
A1339176,C22198,Wajan Anti Lengket,Rumah Tangga,494317,3,COD,4,2023-09-23,0
